Player_ID,Matches_Played,Runs_Scored,Batting_Average,Strike_Rate,Wickets_Taken,Bowling_Average,Economy_Rate,Recent_Form_Score,Player_Form
1,107,2574,51.8,82.56,256,46.09,9.35,85.82,Good
2,184,3384,16.14,85.19,42,46.9,6.33,9.77,Poor
3,97,6218,51.12,140.31,17,38.91,6.88,70.43,Good
4,19,1569,35.23,169.91,197,18.92,3.78,18.7,Poor
5,111,1894,54.28,79.09,176,18.34,5.76,73.36,Good
6,76,2243,54.33,175.5,75,29.3,9.21,64.27,Average
7,193,1866,11.21,98.32,180,25.24,9.3,69.04,Average
8,25,28,29.14,106.96,149,19.65,8.11,63.58,Average
9,107,705,36.32,78.44,81,36.39,6.82,39.67,Poor
10,126,1020,43.92,133.9,9,38.92,9.52,62.02,Average
11,79,2063,24.31,131.57,279,39.43,9.1,23.47,Poor
12,92,1446,22.61,113.07,211,21.13,8.92,27.39,Poor
13,121,7756,29.06,117.13,139,25.7,9.17,6.51,Poor
14,104,6948,35.05,134.76,259,21.97,6.17,61.28,Average
15,108,3664,57.56,130.02,227,36.05,6.68,84.08,Good
16,156,7572,48.11,104.91,4,34.85,5.97,37.84,Poor
17,135,2987,31.47,166.09,82,32.62,8.18,20.87,Poor
18,154,5755,12.72,140.12,5,25.36,7.14,82.39,Good
19,57,3602,18.43,84.65,151,23.3,3.49,64.41,Average
20,6,5062,32.8,98.39,222,46.16,3.96,89.35,Good
21,92,3685,50.69,154.55,180,16.71,4.35,0.62,Poor
22,162,7244,29.03,72.54,262,37.97,7.69,40.12,Average
23,42,6372,36.92,150.03,265,15.69,3.77,90.1,Good
24,134,7105,54.59,103.06,166,21.78,6.79,67.54,Average
25,196,3368,55.69,126.2,77,25.13,8.89,46.89,Average
26,192,3581,20.79,93.67,41,46.03,9.63,41.45,Average
27,25,2762,12.18,178.37,61,19.82,6.0,89.52,Good
28,165,7127,25.27,168.7,277,47.82,6.73,83.18,Good
29,62,4037,44.79,171.41,30,43.54,8.82,1.23,Poor
30,26,572,57.56,82.17,3,38.77,9.55,12.11,Poor
31,93,7705,13.85,161.0,108,29.41,5.73,51.23,Average
32,53,5702,11.42,124.25,92,46.68,5.47,11.46,Poor
33,63,4088,54.21,144.94,98,33.48,6.16,27.48,Poor
34,174,614,47.41,86.1,191,27.99,4.78,83.49,Good
35,192,4050,59.61,145.44,211,35.5,9.02,38.61,Poor
36,19,325,29.84,169.71,82,23.13,5.23,45.09,Average
37,194,7530,30.8,92.1,206,24.55,6.15,17.42,Poor
38,194,3740,18.62,88.0,114,47.18,5.24,60.23,Average
39,179,7018,15.79,72.53,251,42.79,3.83,12.03,Poor
40,194,358,38.94,92.02,60,32.97,7.25,63.02,Average
41,55,3777,28.21,124.3,252,29.58,7.11,74.67,Good
42,112,5906,14.02,159.93,78,43.26,5.06,87.36,Good
43,59,2371,54.35,93.46,195,34.97,3.22,58.24,Average
44,68,1721,19.92,134.54,261,29.53,9.56,33.2,Poor
45,135,1349,47.43,117.55,295,33.04,5.49,85.17,Good
46,55,3696,24.11,94.63,235,23.14,6.77,59.66,Average
47,139,3896,50.65,121.24,168,22.07,4.01,35.81,Poor
48,25,4260,15.92,80.16,6,49.62,4.76,32.25,Poor
49,77,1596,47.8,136.75,21,48.94,6.05,32.06,Poor
50,171,1627,14.91,73.88,71,29.73,6.94,5.63,Poor
51,22,6941,32.35,147.72,105,33.03,8.98,10.13,Poor
52,136,2502,46.7,81.33,138,43.95,5.03,8.97,Poor
53,93,5272,18.66,179.78,29,40.4,9.1,31.22,Poor
54,64,3808,24.28,158.84,88,18.48,6.21,47.4,Average
55,18,5246,53.24,101.26,152,28.11,6.03,14.76,Poor
56,13,192,54.26,111.14,72,23.76,5.77,82.8,Good
57,94,2674,12.25,91.1,237,49.74,9.2,6.56,Poor
58,57,3845,18.4,152.05,250,41.2,4.76,94.53,Good
59,134,2577,15.87,105.69,7,16.67,9.0,7.44,Poor
60,88,7177,18.98,150.62,206,46.5,3.62,89.47,Good
61,96,91,58.51,62.21,257,47.48,9.69,26.07,Poor
62,115,4234,37.58,76.27,283,26.66,6.52,98.67,Good
63,192,480,33.41,103.8,138,37.47,9.99,52.13,Average
64,176,6592,59.22,73.07,45,38.87,7.26,1.83,Poor
65,12,5452,37.85,132.14,125,40.53,3.82,28.27,Poor
66,179,2916,43.06,66.1,20,39.27,3.43,94.02,Good
67,39,4435,26.64,163.17,169,34.59,4.35,29.97,Poor
68,85,1075,29.11,151.36,31,48.38,5.95,35.96,Poor
69,168,7874,39.72,85.95,149,32.93,8.23,4.41,Poor
70,54,2513,13.49,118.06,205,18.88,3.01,25.33,Poor
71,108,6861,22.79,114.22,20,17.81,4.8,25.93,Poor
72,136,798,19.84,146.98,289,15.64,7.11,71.6,Good
73,6,4570,10.79,108.18,137,29.98,5.09,50.58,Average
74,138,6544,36.85,63.95,64,24.56,5.5,16.1,Poor
75,58,5558,38.05,92.85,64,46.33,5.11,79.56,Good
76,110,3949,29.2,115.94,87,45.35,9.67,61.15,Average
77,8,604,23.44,176.94,42,44.32,3.46,26.85,Poor
78,58,2979,42.6,165.74,140,45.35,9.35,22.38,Poor
79,195,7140,16.73,81.77,3,25.42,5.26,92.49,Good
80,150,7065,35.93,146.79,278,29.91,4.73,63.71,Average
81,48,4916,48.4,172.42,40,25.91,9.18,80.74,Good
82,166,6800,18.21,61.06,89,18.01,5.01,22.55,Poor
83,194,597,47.66,146.51,255,47.34,9.91,58.87,Average
84,18,1532,48.04,115.12,144,36.56,6.84,5.35,Poor
85,99,7320,13.0,141.63,183,19.64,6.33,59.47,Average
86,52,513,10.94,132.67,118,22.21,9.84,20.36,Poor
87,19,5622,58.7,178.16,112,30.78,4.59,66.91,Average
88,194,1877,19.67,94.66,290,16.82,9.36,93.2,Good
89,44,3972,51.11,154.34,248,24.52,7.14,45.87,Average
90,86,3843,38.09,88.16,91,39.62,8.28,30.54,Poor
91,115,1699,23.22,112.27,58,47.21,7.07,12.33,Poor
92,57,1029,16.5,177.05,268,47.51,7.33,67.06,Average
93,28,4595,34.83,151.94,93,33.2,4.08,58.42,Average
94,158,5780,30.37,97.9,253,25.93,4.06,54.46,Average
95,192,716,44.94,134.32,174,47.23,5.78,93.6,Good
96,128,5237,55.21,65.96,2,42.53,5.42,97.82,Good
97,45,5604,50.26,91.97,20,35.55,7.98,71.7,Good
98,161,4086,23.72,146.21,103,44.21,8.06,19.6,Poor
99,19,6744,53.95,128.41,268,31.06,6.95,94.68,Good
100,49,665,51.67,116.36,208,18.93,5.81,34.49,Poor
101,69,7846,56.46,142.91,95,47.84,7.74,7.92,Poor
